"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TUBGCP2",0.00851518953667605,0.480738572452537,0.246,0.21,1,6,"TUBGCP2"
"PPP1R16A1",0.00102524352685227,0.480282932301709,0.155,0.111,1,6,"PPP1R16A"
"ANXA81",0.000859376958745263,0.479763651123247,0.102,0.063,1,6,"ANXA8"
"APLP11",1.35675337990559e-08,0.479474265129987,0.158,0.082,0.00028814728282435,6,"APLP1"
"ANKRD52",0.000799769971325891,0.478745439127623,0.138,0.094,1,6,"ANKRD52"
"MOK",0.000225937359098424,0.478294051173023,0.107,0.064,1,6,"MOK"
"FUT61",0.000809804261190497,0.47805401017314,0.144,0.1,1,6,"FUT6"
"SLC41A2",4.71902553091375e-09,0.477357644899595,0.107,0.044,0.000100222664225546,6,"SLC41A2"
"S100P1",0.00299949578402753,0.477182052237811,0.178,0.131,1,6,"S100P"
"CALCOCO1",0.00795839806162559,0.47523514180547,0.178,0.139,1,6,"CALCOCO1"
"BIRC6",0.00977501371266152,0.475160461073059,0.282,0.246,1,6,"BIRC6"
"KMT2D",1.10827797926421e-05,0.474571203453248,0.136,0.077,0.235376077236134,6,"KMT2D"
"GRAMD3",2.75061596498576e-05,0.47439551426289,0.155,0.097,0.584175818643677,6,"GRAMD3"
"ATP2C1",7.88629050447397e-06,0.474054441853301,0.201,0.131,0.167489037734018,6,"ATP2C1"
"CREB51",9.44830547917611e-07,0.472505526928937,0.11,0.053,0.0200663111766742,6,"CREB5"
"UGGT2",1.59071374748557e-09,0.47147561001269,0.124,0.054,3.37835785690985e-05,6,"UGGT2"
"ZBTB43",4.52866016004164e-05,0.470557456963991,0.172,0.111,0.961796844789645,6,"ZBTB43"
"KIAA0368",0.00704611341812121,0.469379171520506,0.153,0.115,1,6,"KIAA0368"
"SFXN31",0.00114330934243359,0.468775570802739,0.184,0.137,1,6,"SFXN3"
"NPTN1",0.00032235451923596,0.468424785140669,0.215,0.161,1,6,"NPTN"
"F2RL11",2.87761147938643e-06,0.466620804941931,0.124,0.066,0.0611147125992089,6,"F2RL1"
"MDFI1",0.000766401244678791,0.466401185809251,0.192,0.143,1,6,"MDFI"
"TMPRSS31",0.000127469932445432,0.465926347952261,0.13,0.08,1,6,"TMPRSS3"
"DICER11",0.00196080260616054,0.465270883171947,0.198,0.151,1,6,"DICER1"
"PRKAA1",0.00285510122876766,0.464016340071486,0.167,0.123,1,6,"PRKAA1"
"IL13RA12",7.65881520736707e-05,0.462967713670185,0.186,0.129,1,6,"IL13RA1"
"GPR871",0.000769785441290868,0.462834281836391,0.127,0.084,1,6,"GPR87"
"SHANK2",3.30227272781759e-05,0.462284352563591,0.102,0.055,0.701336681933899,6,"SHANK2"
"DUOX21",2.47914997195834e-08,0.461704446341769,0.113,0.05,0.000526521871044512,6,"DUOX2"
"CDS11",0.000385794384117419,0.461521848575012,0.141,0.094,1,6,"CDS1"
"ANKRD36B",4.45062534786157e-10,0.46142454310348,0.144,0.062,9.45223811378841e-06,6,"ANKRD36B"
"SLC25A36",0.00103723829632968,0.461363451359836,0.254,0.201,1,6,"SLC25A36"
"XPOT",0.00323304632859836,0.461201532349247,0.136,0.095,1,6,"XPOT"
"MEIS21",0.0044580925516501,0.460958395196009,0.153,0.114,1,6,"MEIS2"
"LPP",0.00977000511117168,0.460453818360155,0.257,0.221,1,6,"LPP"
"DOCK1",0.00125280747076972,0.460326505638684,0.105,0.066,1,6,"DOCK1"
"GNS1",0.00151269205167815,0.459631192173534,0.209,0.162,1,6,"GNS"
"SHROOM31",2.31093170989457e-05,0.457124012376826,0.147,0.09,0.490795676547409,6,"SHROOM3"
"AGPAT31",0.00196343666383502,0.455725412790248,0.167,0.124,1,6,"AGPAT3"
"S100A102",3.1718266118805e-05,0.455277769011699,0.746,0.703,0.673632535831181,6,"S100A10"
"RPS6KC1",2.79259930920363e-07,0.454824029594837,0.169,0.095,0.00593092241288667,6,"RPS6KC1"
"WWTR11",0.00532387693458806,0.454791299943147,0.136,0.099,1,6,"WWTR1"
"TMEM184A1",4.75472292555093e-06,0.454602317396045,0.13,0.073,0.100980805492851,6,"TMEM184A"
"GTF3C1",0.000257379374565836,0.453296498485941,0.198,0.141,1,6,"GTF3C1"
"KIF1B",1.24425717115332e-07,0.452763723461343,0.153,0.081,0.00264255338009542,6,"KIF1B"
"PLEKHG3",5.39686250981251e-06,0.451550436960327,0.15,0.087,0.114618565983398,6,"PLEKHG3"
"ITGB51",9.04221314618542e-05,0.451228529686056,0.186,0.131,1,6,"ITGB5"
"KHNYN",0.00149529846578715,0.450948454398213,0.161,0.115,1,6,"KHNYN"
"RICTOR",2.07651462148696e-07,0.450093628282248,0.218,0.131,0.004410101753114,6,"RICTOR"
"KIAA0430",0.00930305762832047,0.449961204595977,0.138,0.102,1,6,"KIAA0430"
"SLC7A5",0.00362359652124194,0.448972734005218,0.147,0.105,1,6,"SLC7A5"
"CPSF1",0.00841619069542375,0.448624276157703,0.147,0.11,1,6,"CPSF1"
"ARHGEF5",3.99865038482867e-07,0.448617970028644,0.113,0.054,0.00849233368729914,6,"ARHGEF5"
"TPCN1",1.10146349527215e-06,0.448030081475511,0.167,0.097,0.0233928817125899,6,"TPCN1"
"RCOR11",0.00740993867571957,0.447528241436978,0.195,0.157,1,6,"RCOR1"
"HCG18",7.59517366906332e-06,0.447400680327589,0.232,0.155,0.161306298383567,6,"HCG18"
"DHCR241",0.0045009735117365,0.446971867456041,0.141,0.103,1,6,"DHCR24"
"CXADR1",0.000617611646715092,0.44691007084966,0.161,0.114,1,6,"CXADR"
"EREG2",0.000178256084737074,0.445917074672877,0.113,0.067,1,6,"EREG"
"SLC30A11",0.000133485596776169,0.444875528556136,0.147,0.096,1,6,"SLC30A1"
"KISS11",0.00931213866994285,0.443712637242866,0.119,0.086,1,6,"KISS1"
"SLC7A6",5.36340339718284e-05,0.443348976206525,0.15,0.091,1,6,"SLC7A6"
"DUSP41",0.00322489526933109,0.442553408118807,0.218,0.172,1,6,"DUSP4"
"PLEKHA61",0.00316725835607212,0.442165246738026,0.121,0.085,1,6,"PLEKHA6"
"GALC",3.50495288684888e-05,0.440991029725199,0.169,0.109,0.744381894108964,6,"GALC"
"RAB3IP",0.000703735891506406,0.439968019060675,0.164,0.116,1,6,"RAB3IP"
"MTR",0.000633954803431994,0.439415564468696,0.203,0.15,1,6,"MTR"
"RASSF61",1.110220010401e-05,0.438846053401121,0.116,0.063,0.235788525808964,6,"RASSF6"
"TCIRG11",0.000460816216274294,0.43849279398169,0.314,0.255,1,6,"TCIRG1"
"CHST41",3.91056584366757e-06,0.437064104560155,0.164,0.1,0.0830525973878119,6,"CHST4"
"PTGES1",0.0071922945452569,0.436615755020648,0.158,0.122,1,6,"PTGES"
